Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-07-22,Come Together,2016,,2,,H and M and Wes Anderson is not a collaboration I thought would happen,,2021-07-22
2022-05-01,What If...?,,,3,,"In Marvel's first animated show they try to take the charm and action-packed thrills of the MCU to the world of animation but it's faced with middling results. The main problem with these stories is that the tone that the MCU has spent years building in its movies, a tone that is totally unique to those films, one that works so well, doesn’t in this show. For one it doesn’t quite nail the “quippiness” of the dialogue, the supposedly standout comedy episode “What if… Thor was an only child?” is just not funny and it’s all down to the writing cause Chris Hemsworth easily gives the best voice performance in the show. 

And secondly, the tone of the stories they’re trying to tell for the most part are darker, they take place in worlds that the comedic tone doesn’t fit. The one exception to this is the Dr. Strange episode which masterfully pulls off it’s tone, it manages to tell the bleakest story of the series with a dark tone but still manages to incorporate comedy into its dialogue.

I have to commend the animation itself, the series is down right beautiful, the use of colours in the way the series chooses to to visualise certain elements of the MCU that we’re already use to was super inventive, i.e. Dr. Strange’s magic. The series on the whole was very well directed, particularly the action in this series is incredible, I’d go as far to say some of the best action we’ve seen in the MCU, like Captain Carter taking down the planes in the first episode or the whole opening with Black Widow and Hawkeye in the penultimate episode. That episode is also a prime example of the stunning cinematography the series has, the scene where Hawkeye sacrifices himself is gorgeous.

It was nice to see that Marvel managed to get most of the actors back to reprise their roles in animation form but sometimes that was to the detriment of the show as the voice acting in places is real patchy, I’m looking at you Sebastian Stan. The voice actors who they got to replace the actors they didn’t have though did a fantastic job imitating the characters they were playing, Black Widow and Ultron were both fantastic.

Overall though I’m leaving this series very lukewarm. Some episodes are absolutely fantastic and others leave a lot to be desired. It all just falls very flat, most of the episodes didn't have a lasting impact and aren't something I'd go back and revisit, which is sad as the rewatchability is one of the strongest parts of the MCU. I’m excited to see where the series goes in Season 2 though and hope that Marvel can better utilise this great concept for a show. However, the way they wasted a lot of the cliffhangers of the episodes before the finale really disappointed me, as we left those worlds in often more interesting places, then for the finale to come along and quickly wrap up most of the stories was a massive letdown. Although the zombies one is still open and I'm hoping for a better zombies episode in Season 2.

Episode Ranking:
9. What If...Thor Was an Only Child?
8. What If...Killmonger Rescued Tony Stark?
7. What If...Zombies!?
6. What If...The Watcher Broke His Oath?
5. What If...T'Challa Became a Star-Lord?
4. What If...The World Lost its Mightiest Heroes?
3. What If...Captain Carter were the First Avenger?
2. What If...Ultron Won?
1. What If...Dr. Strange Lost his Heart Instead of his Hands?

",,2021-10-06
2024-07-06,Potion Seller,2011,,4,,Unironically a phenomenal piece of media,,2024-06-28
2024-09-21,Walking Stories,2013,,3,,"Was fun I guess. Oddly I thought the performances were incredibly weak, and some verging on horrible which is not something I would expect from Guadagnino",,2024-09-20
2025-03-19,Your Friendly Neighborhood Spider-Man,2025,,4,,"Really solid show and liked the focus on not only Peter but the characters surrounding him, Lonnie had a really interesting arc which ended up generic, and Norman was such an interetsing character. Loved the twist on the MCU, a solid interpretation of the Spider-Man we all know",,2025-02-19
2025-08-07,Las Culturistas Culture Awards,2025,,5,,"DYLAN: You're an amazing actor and you're tall. Like, I love that.
JACK: Thank you so much. You are beautiful and I appreciate your mind just as much as your body.
JACK: A lesbian wrote this for us.",,2025-08-06
