Date,Name,Year,Letterboxd URI,Rating
2020-02-16,The Farewell,2019,https://boxd.it/kIky,4.5
2020-02-19,Little Women,2019,https://boxd.it/aSVk,5
2020-02-27,Proxima,2019,https://boxd.it/hcCY,3.5
2020-02-28,Marriage Story,2019,https://boxd.it/hJAw,4.5
2020-03-01,Forrest Gump,1994,https://boxd.it/728,4.5
2020-03-01,Avengers: Infinity War,2018,https://boxd.it/9vEe,4.5
2020-03-01,Logan,2017,https://boxd.it/7Piy,4.5
2020-03-01,The Lion King,1994,https://boxd.it/201Q,4.5
2020-03-01,Finding Nemo,2003,https://boxd.it/72i,4.5
2020-03-01,Stand by Me,1986,https://boxd.it/2aOe,4.5
2020-03-05,Les Misérables,2019,https://boxd.it/lAPA,3.5
2020-03-08,Onward,2020,https://boxd.it/io92,4.5
2020-03-08,Cars 2,2011,https://boxd.it/H4Y,3
2020-03-08,The Good Dinosaur,2015,https://boxd.it/3AD4,2.5
2020-03-09,Inside Out,2015,https://boxd.it/4KHC,5
2020-03-11,Journey 2: The Mysterious Island,2012,https://boxd.it/2o8m,1.5
2020-03-11,Bridge to Terabithia,2007,https://boxd.it/28YG,3.5
2020-03-11,The Polar Express,2004,https://boxd.it/23am,3
2020-03-14,Professor Layton and the Eternal Diva,2009,https://boxd.it/10gu,3
2020-03-16,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,1
2020-03-26,Interstellar,2014,https://boxd.it/4VZ8,5
2020-03-27,The Breakfast Club,1985,https://boxd.it/27q4,4
2020-03-29,The Death of Stalin,2017,https://boxd.it/ea9Y,4
2020-03-31,Happy Feet,2006,https://boxd.it/1XH0,3
2020-03-31,Happy Feet Two,2011,https://boxd.it/2Om,2.5
2020-04-03,Tower Heist,2011,https://boxd.it/iQI,3
2020-04-06,Legally Blonde,2001,https://boxd.it/1ZNa,4
2020-04-11,Robin Hood,1973,https://boxd.it/1SRa,3
2020-04-11,Lilo & Stitch 2: Stitch Has a Glitch,2005,https://boxd.it/1CXw,3.5
2020-04-11,Holes,2003,https://boxd.it/20mE,3
2020-04-11,Air Buddies,2006,https://boxd.it/1XoM,2
