Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-05-08,Star Wars: The Rise of Skywalker,2019,https://boxd.it/18ccaL,2,Yes,"This is the conclusion to the Skywalker saga, sad. John Williams kills it as always though",,2020-05-07
2020-05-13,The Godfather Part III,1990,https://boxd.it/18NCSD,2.5,,"The dialogue?!?

“He’s your first cousin”
“Then I love him first”",,2020-05-12
2020-06-02,Alien,1979,https://boxd.it/1b6AS3,4,,The quarantine lines hit hard right now,,2020-06-01
2020-06-03,Aliens,1986,https://boxd.it/1bcGZr,4.5,,"Alien/Aliens summed up:

Listen to Ripley
Corporations = Bad",,2020-06-03
2020-06-14,Middleditch & Schwartz,2020,https://boxd.it/1cjHWr,5,,Majestic... like a gazelle,,2020-06-05
2020-06-16,Scott Pilgrim vs. the World,2010,https://boxd.it/1cBDsj,5,,Michael Cera is my spirit animal,,2020-06-16
2020-06-30,Knock Down the House,2019,https://boxd.it/1dWwA7,4.5,,Can AOC just be president please,,2020-06-29
2020-07-01,About Time,2013,https://boxd.it/1e5pu5,4.5,,"A weird and inventive use of time travel allows this movie to be a heartfelt delight, the jumping around from different plot points simulating life perfectly but man I’m sad now",,2020-07-01
2020-07-05,Hamilton,2020,https://boxd.it/1eu5YT,5,,MVP’s are Renée Elise Goldsberry and Jonathan Gruff’s spit,,2020-07-05
2020-07-07,Groundhog Day,1993,https://boxd.it/1eGyGD,3.5,,Lockdown the movie,,2020-07-06
2020-07-08,Middleditch & Schwartz,2020,https://boxd.it/1eOxRB,5,Yes,"Randy?

I fuck",,2020-07-07
2020-07-22,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/1giJ3x,5,Yes,Perfection.,,2020-07-22
2020-08-04,Black Is King,2020,https://boxd.it/1hBGYR,4,,Visually amazing,,2020-08-03
2020-08-05,Dunkirk,2017,https://boxd.it/1hJurR,4,,"Damn the music in this is phenomenal, Hans Zimmer man you genius",,2020-08-04
2020-08-05,Memento,2000,https://boxd.it/1hKbrl,4.5,,This explains the villain from iron man 3,,2020-08-05
2020-08-07,El Camino: A Breaking Bad Movie,2019,https://boxd.it/1hTCV1,3.5,,It’s weird New Mexico isn’t as orange in this,,2020-08-06
2020-08-28,Interstellar,2014,https://boxd.it/1k6YYl,5,Yes,"<b>Brand:</b> Time is relative, okay? It can stretch and it can squeeze, but... it can't run backwards.

<b>Nolan:</b> Well... no fuck this TENET",profile,2020-08-27
2020-08-30,Tenet,2020,https://boxd.it/1klj7l,3.5,,"Confusion? This film has some of Nolan’s best set pieces and action, specifically hand to hand combat in any of his films, yet it feels devoid of any emotional connection to the characters, despite many of the actors giving incredible performances, in particular JD Washington. 

The film really kicks into gear in the second half but the first hour is word soup, lots of lines of dialogue that are all exposition and after we cut to the next scene often I would know <i>what </i>was happening but not really the <i>why.</i> The plot overall is fairly simple just wrapped up in a strange time concept, which always was impressive even if I had no idea what was happening.

Still not sure how I feel bout the film yet so repeat viewings will be needed. Also seeing this in IMAX was incredible it looked amazing and the score was great.",,2020-08-30
2020-08-31,Phineas and Ferb the Movie: Candace Against the Universe,2020,https://boxd.it/1kqqRZ,2.5,,An alien flosses... yup,,2020-08-30
2020-10-27,Enola Holmes,2020,https://boxd.it/1qvryN,2.5,,"Things I never thought I’d see:
- Millie Bobbie Brown do a Dora the Explorer and ask me what to do
- Millie Bobbie Brown wink at me about 5 times
- Millie Bobbie Brown stare at me and bite her lip",,2020-10-26
2020-11-01,Black Swan,2010,https://boxd.it/1r311V,5,,"It’s the most baller ass move to end a film with ‘I was perfect’ but yes, yes you were",,2020-10-31
2020-11-01,Parasite,2019,https://boxd.it/1r5RET,5,Yes,Still perfect,,2020-10-31
2020-11-23,Enchanted,2007,https://boxd.it/1tnJFt,4,,This is unironically one of the best movies Disney has made,,2020-11-23
2020-12-16,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/1vVcMn,5,Yes,The bagel hits someone. Did someone say perfection?,,2020-12-15
2020-12-26,Soul,2020,https://boxd.it/1xbPrf,4.5,,While not the cheeriest of Christmas movies this was such a poignant and fitting film for 2020,,2020-12-25
2020-12-27,Baby Driver,2017,https://boxd.it/1xn6lv,5,,"The film is still incredible and is a masterclass in editing<i>, every single beat </i>is perfectly timed and carefully cut and crafted to",,2020-12-26
2020-12-28,Death to 2020,2020,https://boxd.it/1xx3jB,2.5,,"Surprisingly funny yet uncomfortable too, but focused a lot of the documentary on Trump and less on Covid, Cristin Milioti was the stand out",,2020-12-27
2020-12-29,2001: A Space Odyssey,1968,https://boxd.it/1xJ2vP,5,,This makes me sad the phantom menace is a movie,,2020-12-28
2021-01-02,Scott Pilgrim vs. the World,2010,https://boxd.it/1ym5Xb,5,Yes,“I’m just a little bi-furious!”,,2021-01-01
2021-01-02,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/1ynRt1,4,,This is what normal families are like,,2021-01-01
2021-01-05,Captain America: The First Avenger,2011,https://boxd.it/1z1ubD,3.5,Yes,"Watching the MCU before Wandavision, I still can’t believe as a child I thought Chris Evans was scrawny and the CGI version was buff him. Also it is criminal that Hayley Atwell isn’t a as big as she should be",,2021-01-04
2021-01-06,Captain Marvel,2019,https://boxd.it/1z9nCN,3,Yes,"Love the cast in the movie just wish the writing was a little stronger, the first act is a complete mess but finds it’s footing more when Carol gets to Earth, I now want a Samuel L. Jackson and Brie Larson buddy cop movie",,2021-01-05
2021-01-06,Iron Man,2008,https://boxd.it/1zdznN,3.5,Yes,"This is better than I thought, the relationship between Tony and Pepper is fantastic and love revisiting how it all began",,2021-01-05
2021-01-06,Iron Man 2,2010,https://boxd.it/1zfM0h,3,Yes,"This was again better than I had thought it was, the first hour is really solid and the dialogue between Tony and Pepper really stands out again in this movie, it’s so natural and has a good flow to it. Towards the end the villains are just completely generic which is disappointing as they had set up Ivan’s backstory in a way that could’ve had a good payoff.


Also I just love the hanger scene where Sam Rockwell’s hands are like 10 times a darker shade of orange than his arms",,2021-01-06
2021-01-07,The Incredible Hulk,2008,https://boxd.it/1zlkpv,1.5,Yes,"Honestly just a bad movie, the story, the acting, the characters, the relationships I didn’t care for any of it. It’s bizarre how this and Iron man came out the same year but Iron man looks way better, the cgi in this looks like a video game",,2021-01-06
2021-01-07,Thor,2011,https://boxd.it/1zmgPL,2,Yes,"Holy shit, why can’t the camera stay straight in this film, nearly every shot is a Dutch angle and why, to be edgy?",,2021-01-06
2021-01-07,Marvel One-Shot: Agent Carter,2013,https://boxd.it/1znCER,3,,Give Hayley Atwell more,,2021-01-07
2021-01-07,The Critic,2018,https://boxd.it/1zocDv,3.5,,"We are each are own worst critic.

Stella Velon's 'The Critic' is an intriguing and fascinating look at the inner struggles of an artist, how self-doubt and a feeling of imposter syndrome can manifest itself in self destructive manners.

The film tells the story of an inexperienced actress, played by Velon, who, after winning a big award, is being interviewed on her performance. Throughout the film the interviewer, played by Smyth, is trying to provoke a reaction out of the actress and as time goes on asks more deep and personal questions.

The acting in this film is fantastic, Velon plays her role with an emotional depth that is achieved even by the most subtle of looks, with most of film simply being shots of her face, and her reactions, she does an incredible job at pulling the audience into her life and the inner demons she is battling. Smyth also plays the role of the interviewer fantastically, not as someone curious about the actress but someone who has a preconceived notion of her and wishes to break her down. Using the most passive aggressive tone, he plays it more like a therapist trying to coerce the actress into saying what he wants her to hear.

The quality of both the production and the narrative is no small feat either, some indie shorts can feel low-budget or rushed but this film had beautiful cinematography and lighting, like the glorious opening shot of Velon playing her acceptance speech over in her head while gazing into the mirror, and it also allowed the actress time to sit in the moment and let us really see the emotions that are going through her head.

The use of lighting and extreme close-ups on the interviewer makes it overtly obvious that he is acting as a vessel for the actress' own insecurities and is an external manifestation of her self-worth. While heavy-handed in its execution, it is an intriguing narrative device and really allows us to explore the inner struggles the actress is facing.

This device really is an extension of what the film is about, self-worth and what we deem important to us but also the pressures we place upon ourselves and how we react to those pressures. We learn that the actress has a history of substance abuse, and even see some of this in a wonderfully acted and scored scene, where the actress breaks down due to the pressure of the interview, or more likely the pressures she has placed upon herself.

Not to spoil the ending but I think it was a nice, if strange, way to show the importance of film, how real it can feel and how it can reflect struggles faced in people's personal lives.",,2021-01-07
2021-01-08,The Avengers,2012,https://boxd.it/1zudcn,4.5,Yes,"That tracking shot where they’re all in a circle and the camera spins around all 6 of them with the theme beginning to play, will never not give me chills",,2021-01-07
